44	6.278571E-9	8.629236E-9	3.534806E-10	2.134763E+1	1.000021349E+2	2.134881E+1	1.158930E-3	1.767352E-4
45	7.028571E-9	8.592857E-9	3.472642E-10	2.134801E+1	1.000021349E+2	2.134879E+1	1.151712E-3	1.736271E-4
46	6.589286E-9	8.548333E-9	3.423670E-10	2.134779E+1	1.000021349E+2	2.134877E+1	1.148301E-3	1.711786E-4
47	4.521429E-9	8.460792E-9	3.460959E-10	2.134675E+1	1.000021349E+2	2.134872E+1	1.173635E-3	1.730430E-4
48	8.625000E-9	8.464285E-9	3.386701E-10	2.134881E+1	1.000021349E+2	2.134873E+1	1.160869E-3	1.693302E-4
49	1.024286E-8	8.501339E-9	3.336036E-10	2.134962E+1	1.000021349E+2	2.134874E+1	1.155604E-3	1.667970E-4
50	5.667857E-9	8.443513E-9	3.318022E-10	2.134733E+1	1.000021349E+2	2.134872E+1	1.161274E-3	1.658964E-4
51	4.296429E-9	8.360571E-9	3.355120E-10	2.134664E+1	1.000021349E+2	2.134867E+1	1.186180E-3	1.677512E-4
52	7.960714E-9	8.352731E-9	3.289610E-10	2.134847E+1	1.000021349E+2	2.134867E+1	1.174592E-3	1.644758E-4
53	5.175000E-9	8.291621E-9	3.283103E-10	2.134708E+1	1.000021349E+2	2.134864E+1	1.183706E-3	1.641505E-4
54	6.889286E-9	8.265161E-9	3.231413E-10	2.134794E+1	1.000021349E+2	2.134863E+1	1.176218E-3	1.615660E-4
55	7.992857E-9	8.260119E-9	3.171408E-10	2.134849E+1	1.000021349E+2	2.134862E+1	1.165216E-3	1.585659E-4
56	5.550000E-9	8.210844E-9	3.151967E-10	2.134727E+1	1.000021349E+2	2.134860E+1	1.168747E-3	1.575938E-4
57	9.117857E-9	8.227041E-9	3.099405E-10	2.134905E+1	1.000021349E+2	2.134861E+1	1.159658E-3	1.549658E-4
58	3.728571E-9	8.148120E-9	3.145169E-10	2.134636E+1	1.000021349E+2	2.134857E+1	1.187241E-3	1.572540E-4
59	3.032143E-9	8.059914E-9	3.213880E-10	2.134601E+1	1.000021349E+2	2.134852E+1	1.223774E-3	1.606894E-4
60	6.342857E-9	8.030811E-9	3.172315E-10	2.134767E+1	1.000021349E+2	2.134851E+1	1.218316E-3	1.586112E-4
61	1.166786E-8	8.091428E-9	3.177354E-10	2.135033E+1	1.000021349E+2	2.134854E+1	1.230549E-3	1.588631E-4
62	6.814286E-9	8.070492E-9	3.131838E-10	2.134790E+1	1.000021349E+2	2.134853E+1	1.222987E-3	1.565874E-4
63	4.992857E-9	8.020852E-9	3.120643E-10	2.134699E+1	1.000021349E+2	2.134850E+1	1.228563E-3	1.560277E-4
64	8.925000E-9	8.035204E-9	3.074062E-10	2.134896E+1	1.000021349E+2	2.134851E+1	1.219946E-3	1.536987E-4
65	7.382143E-9	8.025000E-9	3.027369E-10	2.134818E+1	1.000021349E+2	2.134851E+1	1.210913E-3	1.513641E-4
66	5.410714E-9	7.984780E-9	3.007445E-10	2.134720E+1	1.000021348E+2	2.134849E+1	1.212305E-3	1.503679E-4
67	8.496429E-9	7.992532E-9	2.962541E-10	2.134874E+1	1.000021348E+2	2.134849E+1	1.203356E-3	1.481228E-4
68	6.460714E-9	7.969669E-9	2.926932E-10	2.134772E+1	1.000021348E+2	2.134848E+1	1.197864E-3	1.463424E-4
69	8.496429E-9	7.977416E-9	2.884608E-10	2.134874E+1	1.000021348E+2	2.134848E+1	1.189320E-3	1.442263E-4
70	8.110714E-9	7.979348E-9	2.842561E-10	2.134855E+1	1.000021348E+2	2.134848E+1	1.180570E-3	1.421240E-4
71	6.010714E-9	7.951224E-9	2.815738E-10	2.134750E+1	1.000021348E+2	2.134847E+1	1.177874E-3	1.407829E-4
72	4.585714E-9	7.903823E-9	2.815979E-10	2.134679E+1	1.000021348E+2	2.134845E+1	1.186359E-3	1.407949E-4
